,date,Daily,Daily,Daily,Daily
,,sum,min,max,mean
158,2008-01-27,264560980.46480483,80.14700113700967,24134843.619442865,893787.0961648811
159,2008-02-03,286458208.39602995,106.86266818267954,10753517.182660604,897988.1140941378
160,2008-02-10,225600907.35945037,37.96436895963616,18367263.691175427,671431.2719031262
161,2008-02-17,206587484.31892884,308.44354796804805,12919959.959866412,637615.692342373
162,2008-02-24,260629007.7063956,65.89475797499209,14975520.296589874,775681.5705547488
163,2008-03-02,227097868.4600152,70.10080635637456,13936610.924211005,665976.1538416868
164,2008-03-09,167625793.8779773,284.6092738068807,8251289.636235061,500375.5041133651
165,2008-03-16,180244811.98414263,108.41747218163428,19482066.543938037,556311.1480992057
166,2008-03-23,205217578.5491177,180.69578696939044,26095186.2450873,653559.167353878
167,2008-03-30,217219694.3425921,33.35922220973362,14128477.09608576,676696.8671108788
168,2008-04-06,208696126.7346812,13.899675920722345,13300209.307645837,660430.7808059531
169,2008-04-13,167469232.9112024,385.4632092466822,8635204.840263845,558230.7763706747
170,2008-04-20,161048610.87722918,95.3296108889644,13158912.642314838,535045.2188612266
171,2008-04-27,154509665.49593386,84.27690238009897,11047227.747033603,536491.8940831036
172,2008-05-04,159102322.85684028,26.25018270855541,9679361.121039182,525090.1744450175
173,2008-05-11,253292212.6323035,91.18484519813988,51171559.755267,827752.3288637369
174,2008-05-18,223515148.82553363,95.90360611544,29284342.863995165,760255.6082501144
175,2008-05-25,223273314.1821984,438.41648509915433,27943739.23534381,759433.041436049
176,2008-06-01,315992043.7416356,338.4027244359098,50053241.50487001,1248980.4100459905
177,2008-06-08,339220973.18930775,177.68620524187102,36689346.63293512,1507648.7697302566
178,2008-06-15,316739942.2028335,84.09576125951146,30721996.42888285,1433212.4081576176
179,2008-06-22,336934692.8861596,31.19681466078651,29119005.075634677,1517723.8418295477
180,2008-06-29,294203625.0738478,33.90958115302882,19494383.55057469,1381237.6764030412
181,2008-07-06,340819203.59876156,17.632982199574986,31419408.00254096,1730046.7187754393
182,2008-07-13,385417756.02908593,101.72874345908645,34786798.580622286,1946554.3233792218
183,2008-07-20,310038453.96900856,384.54994908257714,18524702.062973943,1557982.1807487868
184,2008-07-27,439304641.39771515,296.8455747304105,90625728.80254953,2132546.8029015297
185,2008-08-03,425158422.3563993,678.6969276790747,38148021.50223673,2063875.83668155
186,2008-08-10,332278462.72882366,3980.124635987695,23288944.73654181,1589849.1039656634
187,2008-08-17,295582222.0686397,1933.164688752362,16372535.306514336,1331451.4507596383
188,2008-08-24,263455164.02149385,1236.8460832732353,12982062.477643482,1125876.7693226233
189,2008-08-31,219613313.55515644,2884.167920360041,8774973.198611505,828729.485113798
190,2008-09-07,185418269.17735958,2181.0757875902614,5831196.8833882585,637176.1827400672
191,2008-09-14,146068850.49652854,594.1827564298873,4609260.136729089,503685.6913673398
192,2008-09-21,158501123.51757678,678.290817842337,10767982.042686136,574279.4330346985
193,2008-09-28,156507900.8334286,841.0806141244979,8803891.949164242,553031.4517082282
194,2008-10-05,164658252.79669356,1344.372400963512,16793044.029824074,569751.7397809466
195,2008-10-12,186813518.84157446,223.37923471531545,17106155.674414635,618587.8107336903
196,2008-10-19,177022528.92268196,98.6705822055381,10356524.606982404,572888.4431154756
197,2008-10-26,180910473.28182185,13.704247528546958,9650306.3599433,581705.7018708098
198,2008-11-02,217317821.36579353,472.79653973487,23244312.81009637,726815.4560728881
199,2008-11-09,155753627.95223022,738.658941788681,11482696.94359892,526194.6890278048
200,2008-11-16,235845217.20477346,339.51592797457926,38466140.28329057,775806.635542018
201,2008-11-23,269668091.54998237,129.93819465693775,37733808.61820407,933107.583217932
202,2008-11-30,268332500.15983525,1067.4492550311877,50268404.14902201,1048173.8287493564
203,2008-12-07,358625069.21377426,1845.68123808403,18293988.64545604,1368797.974098375
204,2008-12-14,155927323.13248,1063.0750470917292,9839164.743488025,592879.5556368061
205,2008-12-21,159398905.52397874,660.7159655231463,16829312.36113648,603783.733045374
206,2008-12-28,164855714.91786063,529.4198441691877,9382905.074638013,601663.1931308781
207,2009-01-04,452749467.0456124,232.94473143444264,20302869.84160055,1545220.0240464588
208,2009-01-11,465908984.2827239,518.1255541602451,13995130.56537039,1558224.0277014177
209,2009-01-18,260362157.6601403,215.06723405464547,17076445.214721777,885585.5702725861
210,2009-01-25,326521362.29560536,19.67935475009828,18605096.72733172,1129831.7034450013
211,2009-02-01,323267673.3666615,106.83078292910491,14149665.50988193,1092120.518130613
212,2009-02-08,231856726.5652897,368.2850674661249,16383137.329871226,849292.0387006949
213,2009-02-15,265696796.9652015,286.7360610387713,15274333.46037334,973248.3405318736
214,2009-02-22,313346252.90406376,1386.124080436207,26985983.950752385,1135312.5105219702
215,2009-03-01,286085546.4338739,1170.7223565339102,23243928.69195968,976401.1823681702
216,2009-03-08,201068589.25785235,3331.733158021236,10947114.241775176,674726.8095901086
217,2009-03-15,199077982.02293748,2773.8950208970946,34207332.93976278,696076.8602200611
218,2009-03-22,180305759.09457055,1766.4743945954333,15207014.354023574,650923.3180309406
219,2009-03-29,192437675.0089465,8971.903915678227,13775617.547908176,672859.003527785
220,2009-04-05,247550731.48907197,3375.277693938668,33885018.338081606,884109.7553181142
221,2009-04-12,264936477.3745052,1041.0999624835863,42535656.07817483,981246.2124981674
222,2009-04-19,256612680.71369818,228.262558619396,24268339.37213937,994622.7934639464
223,2009-04-26,214842707.72704935,98.8209857437629,13107220.265109736,829508.5240426615
224,2009-05-03,201122823.7953808,868.5111986494092,15601602.521614144,814262.4445157117
225,2009-05-10,255552605.90557146,1302.7667979741138,47788501.32475592,1060384.256869591
226,2009-05-17,260351195.51977035,1461.3910341538233,37816598.98511616,1075831.386445332
227,2009-05-24,251959616.18585408,649.5071262905882,25375285.817512725,1076750.496520744
228,2009-05-31,318619748.3011653,1569.6422218689213,27877417.6487169,1379306.2697020143
229,2009-06-07,342384237.015777,1830.5553409771064,36630979.23950229,1563398.3425377945
230,2009-06-14,309211961.8319046,926.0587084420914,24575725.36439755,1508351.033326364
231,2009-06-21,294524442.29737175,850.3778333093795,18275797.50743881,1363539.0847100543
232,2009-06-28,302668757.11382383,379.7803915750627,17512663.210966513,1455138.2553549223
233,2009-07-05,488431970.20315915,1391.1520865303928,85335657.75139667,2325866.524776948
234,2009-07-12,419318603.354003,1036.139981362399,24793426.95272834,1863638.2371289022
235,2009-07-19,322305535.57162035,1081.887917864324,19846186.42033239,1534788.2646267635
236,2009-07-26,418504099.8454477,534.7420536705193,80177420.84022829,1983431.752822027
237,2009-08-02,318708077.7003683,6360.398396106822,15961081.426643018,1503339.9891526806
238,2009-08-09,284780628.1618475,6025.495511978121,11976885.147085458,1222234.4556302465
239,2009-08-16,286898364.7487653,3573.9290519565966,30471633.998772204,1205455.3140704425
240,2009-08-23,291873755.28003466,4555.76258142832,19477022.25735519,1221229.1015901032
241,2009-08-30,266911193.34047928,3465.294809900201,19778666.544738088,1071932.5033754187
242,2009-09-06,239383365.78599295,1767.0253296514916,14914612.36040661,946179.3114070868
243,2009-09-13,185248598.34392074,1699.956424301636,6255324.294898806,707055.7188699265
244,2009-09-20,191480590.48483813,1103.528705508661,13587420.503405582,693770.2553798483
245,2009-09-27,170044423.0714223,2716.906912566156,18075255.990294907,596647.0984962187
246,2009-10-04,165109615.85682207,1368.7603869073805,15369791.144979144,561597.3328463336
247,2009-10-11,177635438.68958443,986.7168250998986,12973645.348455202,578617.0641354541
248,2009-10-18,186689157.21839514,2430.095199766858,18368670.86981964,612095.5974373611
249,2009-10-25,240816037.7920732,1177.9783510734262,16935911.452869643,830400.1303174938
250,2009-11-01,205521984.50898108,891.0349065811813,11860768.835902989,696684.6932507834
251,2009-11-08,177287773.15935916,420.1181531800331,11424245.147778856,573746.8387034277
252,2009-11-15,205570673.62682015,266.1610410021726,18017441.027287018,682959.0485940869
253,2009-11-22,248527475.53814542,1116.7788009060232,33885255.73031017,828424.9184604847
254,2009-11-29,400405139.3725651,703.8175981139925,99746942.52271068,1348165.452432879
255,2009-12-06,429082006.3084547,552.9015439375029,24299218.88507373,1435056.8772858016
256,2009-12-13,185926768.46793783,880.8009707391486,11748091.919499513,650093.5960417406
257,2009-12-20,170394772.46918023,254.26116814618268,14462160.84014281,595785.9177244063
258,2009-12-27,231727557.99124333,412.3154078046205,36767675.36271528,821728.9290469622
259,2010-01-03,553997794.2106655,214.40401205840269,38859910.80107804,2029295.949489617
260,2010-01-10,927357306.112464,649.2395852081575,64520016.4436999,3379480.069324595
261,2010-01-17,298854470.3790075,13.697037662619357,23633016.71109019,1171978.315211794
262,2010-01-24,296008258.82560563,31.503186624024515,22361852.17318067,1147318.832657386
