,date,Genre 0,Daily,Daily,Daily,Daily
,,,sum,min,max,mean
0,2005-01-09,Action,52353800.18801784,12072.649863660201,7431040.491211328,2113253.8450349416
1,2005-01-09,Adventure,43963241.60948611,18417.91136864185,14778523.366607238,3558106.3382953336
2,2005-01-09,Biography,45011565.34347667,103928.75337703199,12120896.88515994,2162105.119480446
3,2005-01-09,Comedy,161866184.47592556,4183.483670686944,48583240.9853697,4328652.31860313
4,2005-01-09,Crime,23182485.2789827,4991794.036271632,9997329.135537494,6974603.546370141
5,2005-01-09,Documentary,78494.79126900893,14399.401384373365,37256.038730991095,20842.379783129825
6,2005-01-09,Drama,63813207.06308339,187192.21799685372,18159500.321489252,2874222.353432875
7,2005-01-09,Horror,11489016.539066598,2547754.0062926067,5237136.366019927,3728472.0140085407
8,2005-01-16,Action,36728298.80262717,4071.426072364972,7556689.742396436,706313.4385120609
9,2005-01-16,Adventure,32742344.663382284,4241.068825380179,9227649.070618777,1559159.2696848707
10,2005-01-16,Biography,59616838.32494495,55188.36717357106,14783369.857734663,1324818.629443221
11,2005-01-16,Comedy,79208942.12489252,1206.1755374934453,12805094.12246985,1237639.7207014456
12,2005-01-16,Crime,7194110.263114842,604077.6108652335,1925291.1675249084,1027730.0375878345
13,2005-01-16,Documentary,90903.61392763504,1592.151709491348,40616.210325118,12986.23056109072
14,2005-01-16,Drama,41747350.849690616,79688.51596224438,7501765.955663347,1192781.4528483034
15,2005-01-16,Horror,1042758.2066072366,291038.4845306765,437335.90456213953,347586.0688690789
16,2005-01-23,Action,32891745.456345048,11968.374042999478,4102553.183009964,620598.9708744349
17,2005-01-23,Adventure,56302406.46355533,90942.52281594128,12268910.965343472,2345933.6026481385
18,2005-01-23,Biography,49301189.34875197,46737.356633455696,7758774.7264813855,1071764.9858424342
19,2005-01-23,Comedy,55926196.42252229,1816.2669061352915,6623553.4377032,1118523.9284504459
20,2005-01-23,Crime,3820359.4669690616,252436.1982642895,975836.4750760358,545765.6381384374
21,2005-01-23,Documentary,71489.63501835345,3023.998799160986,20679.29595700053,10212.805002621923
22,2005-01-23,Drama,29648305.196203467,70445.32045621396,3201617.8742789724,847094.4341772419
23,2005-01-23,Horror,130872.3803513372,130872.3803513372,130872.3803513372,130872.3803513372
24,2005-01-30,Action,21884819.38152596,5388.102852648139,2874588.668065024,446628.9669699175
25,2005-01-30,Adventure,46296243.45401678,57936.89104352387,11709846.26918196,1653437.266214885
26,2005-01-30,Biography,43189832.51671212,29240.807739905613,5655363.337357106,959774.055926936
27,2005-01-30,Comedy,44443442.658117466,3799.0638542212905,5848231.583980074,1139575.4527722427
28,2005-01-30,Crime,1897475.9814525435,199727.10545359208,504582.91439958056,271067.99735036335
29,2005-01-30,Documentary,823459.9303356057,2974.195422128999,331354.3182380703,82345.99303356057
30,2005-01-30,Drama,72101679.61318827,52953.44062926062,13649871.45453068,1897412.6213996913
31,2005-02-06,Action,10744346.119208563,2611.5645831148404,1391139.2231491138,244189.68452746735
32,2005-02-06,Adventure,29386836.790038645,19335.13302919708,8563817.466824817,1049529.885358523
33,2005-02-06,Biography,32375712.705318037,21690.92705296277,4348277.215849844,660728.8307207762
34,2005-02-06,Comedy,45775601.58935035,21668.65688738269,7654329.637956205,1476632.3093338823
35,2005-02-06,Crime,861908.4124848659,78268.98988529718,265500.2360531804,123129.77321212369
36,2005-02-06,Documentary,843367.3388643782,3458.2219926586263,306941.94855057355,60240.52420459844
37,2005-02-06,Drama,79938161.77570586,39459.83816465653,13091358.213759124,1776403.5950156858
38,2005-02-13,Action,4052074.4288216894,14313.723931178312,787641.6736183524,115773.55510919113
39,2005-02-13,Adventure,21692603.360662147,14699.033905109489,6202668.895166841,774735.8343093625
40,2005-02-13,Animation,8983693.92347758,2096244.0960062563,4039979.718957247,2994564.6411591936
41,2005-02-13,Biography,24524328.37285193,13406.930177267986,3379586.2773722624,544985.0749522651
42,2005-02-13,Comedy,101355047.42381126,15157.073070907196,28753495.289009385,2472074.3274100306
43,2005-02-13,Crime,494519.8189520334,48106.49184567257,136475.55482273205,70645.68842171905
44,2005-02-13,Documentary,891045.5627267988,2588.8497445255475,291690.4822732013,63646.111623342775
45,2005-02-13,Drama,55007046.854546405,29659.58341501564,7212793.808993744,1222378.8189899202
46,2005-02-20,Action,47896895.59929093,7679.893175182482,16988941.91218978,1545061.1483642235
47,2005-02-20,Adventure,16420601.963493222,14989.9506725756,4290610.703847758,586450.070124758
48,2005-02-20,Animation,8628891.52438999,450069.90328467154,2855999.5405474454,1232698.78919857
49,2005-02-20,Biography,19413258.108128257,15585.711074035453,2904525.3858185606,431405.7357361835
50,2005-02-20,Comedy,124262127.70571952,13272.303800834205,20568586.07980188,2436512.3079552846
51,2005-02-20,Crime,731366.3008394161,27084.660537017728,257572.75413972887,104480.90011991658
52,2005-02-20,Documentary,1001960.6751824818,3616.343008342023,262953.16690823773,71568.61965589155
53,2005-02-20,Drama,37767076.26805527,26221.19481230448,4660319.492408759,899216.1016203635
54,2005-02-27,Action,33487501.83221585,3294.477648592284,7969531.765787279,1154741.4424902017
55,2005-02-27,Adventure,14478299.260364965,28893.60575599583,2926088.81749218,517082.1164416059
56,2005-02-27,Animation,6598422.471564129,481782.925797706,1851001.2610323252,942631.7816520184
57,2005-02-27,Biography,17842798.098998956,9097.33870177268,2881313.9416058394,414948.79299997573
58,2005-02-27,Comedy,159442206.5024974,17003.15660062565,14670613.812815432,2310756.6159782233
59,2005-02-27,Crime,445443.08873826906,35699.2011991658,119265.04265380606,63634.726962609864
60,2005-02-27,Documentary,1097676.9339676748,8322.07646506778,211024.52391553705,78405.49528340534
61,2005-02-27,Drama,27172761.894671533,13656.0663451512,5526459.175495308,696737.4844787573
62,2005-03-06,Action,62045859.32947431,2845.13627004656,20860222.835126743,2215923.5474812253
63,2005-03-06,Adventure,4657992.793891955,9617.881055354372,1179045.6591257113,166356.88549614124
64,2005-03-06,Animation,2076057.7269896541,180297.21406673617,603178.1017796173,296579.6752842363
65,2005-03-06,Biography,9982943.39710624,4602.0556725756,1774947.3978272115,262709.0367659537
66,2005-03-06,Comedy,121084421.13557054,8126.98665804449,14770926.4587015,1458848.4474165125
67,2005-03-06,Crime,241327.13198025405,20419.88118873827,66591.2358510088,34475.304568607724
68,2005-03-06,Documentary,637591.5642860488,3187.5352922917746,159444.3231660631,45542.25459186063
69,2005-03-06,Drama,26023878.75840196,9209.458903259185,5892519.811883084,743539.3930971989
70,2005-03-13,Action,61543719.97590792,4492.643673047078,12542163.703874806,1985281.2895454168
