,dt,max,min,mean,sum
0,2005-01-01,28437634.90393288,3783.500298898795,2617616.9471550724,94234210.09758261
1,2005-01-02,17632986.80128474,2930.61746722601,1733431.7419115251,62403542.708814904
2,2005-01-03,6883169.104037757,2049.720235972733,677671.8963148155,23040844.474703725
3,2005-01-04,4963560.190561092,2332.976942842161,460009.94478469423,15640338.122679604
4,2005-01-05,4360254.532039854,1428.734378605139,402088.89194746915,13671022.32621395
5,2005-01-06,4552215.423387521,1252.8662034609335,423287.690226102,14391781.467687469
6,2005-01-07,13882138.841452545,2695.607781856319,1551922.7204226537,54317295.21479288
7,2005-01-08,20145606.081436817,3394.411415836393,2286644.283114391,80032549.90900369
8,2005-01-09,10457051.658075511,1828.7177503932885,1257897.4562236874,44026410.967829056
9,2005-01-10,2881864.630178291,1206.1755374934453,349863.2999864932,11545488.899554275
10,2005-01-11,3185851.9927372844,1497.214022024122,375250.80723999307,12383276.63891977
11,2005-01-12,2744555.1633455693,1452.0797115888834,335893.028268421,11084469.932857893
12,2005-01-13,2854418.300367069,1252.8662034609335,349956.728480717,11548572.039863661
13,2005-01-14,12289727.220587311,8994.178620870478,1826119.4148321974,62088060.10429471
14,2005-01-15,14783369.857734663,12471.0768799161,2555605.362201179,86890582.31484008
15,2005-01-16,10564188.060204512,8645.554981646566,1847973.4387899074,62831096.91885685
16,2005-01-17,7758774.7264813855,6714.117766124805,1358389.809282057,46185253.51558994
17,2005-01-18,1852981.3331410596,2454.3726743576303,389886.9420153256,12086495.202475093
18,2005-01-19,1548760.517252229,1816.2669061352915,345944.90817235847,11070237.061515471
19,2005-01-20,1678618.1537965392,2183.5668117461987,377395.1571347339,12076645.028311485
20,2005-01-21,8530955.854740432,8833.874001048769,1475468.1848025369,47214981.91368118
21,2005-01-22,12268910.965343472,12808.806030414264,2016773.5950954887,62519981.44796015
22,2005-01-23,8109770.251536446,8930.368044048246,1191579.6838768884,36938970.20018354
23,2005-01-24,1747816.8334714212,2974.195422128999,379181.69440779585,11375450.832233876
24,2005-01-25,1261527.3219979026,3386.629638175145,372499.6894441532,11174990.683324596
25,2005-01-26,1224812.8949921343,3799.0638542212905,369404.2539260619,11082127.617781857
26,2005-01-27,1280961.5335291035,4454.289533298375,387645.5189417935,11629365.568253804
27,2005-01-28,12189857.442438386,6331.254305191401,1648666.140214506,52757316.486864194
28,2005-01-29,13649871.45453068,9071.99639748296,2556906.738633325,81821015.6362664
29,2005-01-30,8336644.866539068,6541.362302045099,1587396.4597070008,50796686.710624024
30,2005-01-31,2154078.5434766654,2611.5645831148404,379290.9221166501,11758018.585616153
31,2005-02-01,1966928.4980083425,2695.6223879040667,377539.5311650241,11703725.466115747
32,2005-02-02,1737780.478451512,4328.160630865485,370910.1613324644,11127304.839973932
33,2005-02-03,1656192.2520437958,4662.405427528675,367909.85005352803,11037295.50160584
34,2005-02-04,12471895.832898851,8408.732523461938,1609046.8107028806,51489497.94249218
35,2005-02-05,13091358.213759124,23698.88454118874,2361063.317957671,75554026.17464547
36,2005-02-06,3869870.7814702815,10934.137653806049,851752.069391293,27256066.220521376
37,2005-02-07,1681402.9753180395,2588.8497445255475,347173.464370393,10068030.466741398
38,2005-02-08,1350794.6382481751,3258.8867674661105,329947.63798425085,9568481.501543274
39,2005-02-09,1129973.3374452554,2740.4978467153287,296026.4867714214,8584768.11637122
40,2005-02-10,1272496.2472002087,4176.512528675704,325792.3625930387,9447978.515198123
41,2005-02-11,21612126.188717414,11491.212314911369,1517208.4503543826,51585087.31204901
42,2005-02-12,28753495.289009385,34339.01056830031,2385911.4961094586,81120990.86772159
43,2005-02-13,16393918.087226275,15974.115907194997,1371324.2048889773,46625022.96622523
44,2005-02-14,11629617.514462983,3616.343008342023,836797.7869713244,25103933.60913973
45,2005-02-15,4113199.446011471,3733.947659019813,354295.77063190826,10628873.118957248
46,2005-02-16,3631093.1074244007,6152.580145985402,323640.7773270768,9709223.319812305
47,2005-02-17,4105247.205224192,6886.061783107404,365582.00010392774,10967460.003117831
48,2005-02-18,16839588.64811783,13459.542784150157,1655633.4973162522,57947172.406068824
49,2005-02-19,20568586.07980188,21524.745933263817,2376241.448506033,83168450.69771115
50,2005-02-20,13774064.042950992,13881.99106882169,1674201.856865485,58597064.990291975
51,2005-02-21,8317923.163983317,9086.50669447341,1073273.7921029346,37564582.72360271
52,2005-02-22,3335295.746955161,5321.610443169969,442835.71819554875,14170742.98225756
53,2005-02-23,2954097.2935088635,3294.477648592284,403248.64844792755,12903956.750333682
54,2005-02-24,2936000.104171012,3487.906350364964,394042.02252965333,12609344.720948907
55,2005-02-25,11420439.074077165,8761.546475495308,1606798.0776977506,56237932.719421275
56,2005-02-26,14670613.812815432,13933.056246089676,2341438.253265753,81950338.86430135
57,2005-02-27,8332162.611293014,6622.998748696559,1289377.4663472367,45128211.322153285
58,2005-02-28,1960262.1712304484,2902.97795620438,317487.91583025246,10477101.222398331
59,2005-03-01,1809374.6214899125,3063.166140713916,338301.7729044193,11163958.505845835
60,2005-03-02,1650185.1783135026,2845.13627004656,305968.72475364094,10096967.91687015
