,Date,max,min,mean,sum
514,2001-01-01,15358263.336733297,4288.386122215877,3098807.5276055792,58877343.024506
515,2001-01-02,4582293.122872645,1364.4864934323246,1120473.4345160748,19048048.386773273
516,2001-01-03,3279881.4423129642,974.6332095945176,760205.2289988914,12923488.892981155
517,2001-01-04,3291816.037841234,957.6830668189607,764670.8936731953,12999405.192444319
518,2001-01-05,7930971.804683039,3603.6003540833813,2727042.6737869275,29997469.4116562
519,2001-01-06,12241393.11250714,6308.843141062251,4136438.416410883,45500822.58051971
520,2001-01-07,7495353.1353512285,3169.676699029126,2232842.73157767,26794112.778932042
521,2001-01-08,2595239.7503940607,1233.970394060537,692710.5762488968,7619816.338737865
522,2001-01-09,2658445.1377898348,1059.3839234723018,773728.8686875034,8511017.555562537
523,2001-01-10,2249917.8816561964,1300.0759508852086,658069.5694584913,7238765.264043405
524,2001-01-11,1993830.0395602516,1491.6125642490008,658864.2229702509,7247506.452672759
525,2001-01-12,12732947.252998287,2530.6563163906344,3264244.3705977537,39170932.447173044
526,2001-01-13,15473785.339805827,4257.875865219875,4700536.895121359,56406442.741456315
527,2001-01-14,11532877.144488866,2805.248629354655,3244962.5944322296,38939551.13318676
528,2001-01-15,6918222.809029127,1289.9058652198746,1890481.6290291266,22685779.54834952
529,2001-01-16,2120096.7381382072,950.9030097087381,696736.8900499715,8360842.680599659
530,2001-01-17,1614982.4834266137,1189.900022844089,578771.6651475349,6945259.981770419
531,2001-01-18,1935999.5424386067,718.6860536836094,623966.537085951,7487598.445031412
532,2001-01-19,8376760.559680184,945.817966876071,2160628.4845478777,25927541.814574532
533,2001-01-20,11783739.257567106,1818.7503198172476,3416462.7265234157,40997552.718280986
534,2001-01-21,5885089.571673331,950.9030097087381,1926337.8198053495,23116053.837664194
535,2001-01-22,1366612.0413363795,396.63334094802974,490999.0233152485,5891988.279782982
536,2001-01-23,1504918.4263278127,645.8004397487151,557691.9025870931,6692302.831045117
537,2001-01-24,1172841.3991547688,477.9940262707025,353944.40636778984,3185499.6573101087
538,2001-01-25,1275349.0826042264,539.0145402627071,378907.8233079511,3410170.4097715598
539,2001-01-26,8379782.770137065,2691.6826727584244,1701239.047988578,17012390.47988578
540,2001-01-27,10303308.70250714,532.2344831524844,2608792.745554541,26087927.455545407
541,2001-01-28,4217048.056316391,2384.8850885208453,1000648.1192250144,10006481.192250144
