,dt,Genre 0,max,min,mean,sum
0,2005-01-01,Action,4243895.167026744,12134.904084950183,1846839.7596663611,14774718.07733089
1,2005-01-01,Adventure,8905832.099082328,20845.825998951237,3016397.947830362,12065591.791321447
2,2005-01-01,Biography,6897767.7189302575,91986.83737808076,1694964.5559517567,10169787.33571054
3,2005-01-01,Comedy,28437634.90393288,3783.500298898795,3830034.0559312585,42130374.615243845
4,2005-01-01,Crime,6232419.503471422,6232419.503471422,6232419.503471422,6232419.503471422
5,2005-01-01,Documentary,14796.272045097014,14796.272045097014,14796.272045097014,14796.272045097014
6,2005-01-01,Drama,2887388.1359622446,177668.87849501838,1275093.6840836394,5100374.736334558
7,2005-01-01,Horror,3746147.766124804,3746147.766124804,3746147.766124804,3746147.766124804
8,2005-01-02,Action,2604567.208641846,8533.497383324595,1255926.1929817777,10047409.543854222
9,2005-01-02,Adventure,6439324.52063975,14772.926712113269,2276474.622510488,9105898.490041953
10,2005-01-02,Biography,4701750.062926062,78908.78184058731,1162606.92072365,6975641.524341899
11,2005-01-02,Comedy,17632986.80128474,2930.61746722601,2404149.364305668,26445643.00736235
12,2005-01-02,Crime,4023476.314771894,4023476.314771894,4023476.314771894,4023476.314771894
13,2005-01-02,Documentary,12164.474840062929,12164.474840062929,12164.474840062929,12164.474840062929
14,2005-01-02,Drama,2126470.352690089,136553.07804404828,923835.5240325117,3695342.096130047
15,2005-01-02,Horror,2097967.2574724704,2097967.2574724704,2097967.2574724704,2097967.2574724704
16,2005-01-03,Action,1012743.890167803,6029.321331934978,494851.9126024422,3463963.3882170953
17,2005-01-03,Adventure,2159553.802239119,8113.281389617201,796205.0322548506,3184820.1290194024
18,2005-01-03,Biography,1867626.6386995283,34232.039931830106,459857.3029271107,2299286.5146355536
19,2005-01-03,Comedy,6883169.104037757,2049.720235972733,906280.965523669,9969090.620760359
20,2005-01-03,Crime,1640926.3355165184,1640926.3355165184,1640926.3355165184,1640926.3355165184
21,2005-01-03,Documentary,3956.255762978501,3956.255762978501,3956.255762978501,3956.255762978501
22,2005-01-03,Drama,946609.6745359204,68168.37231253278,420097.7106869429,1680390.8427477716
23,2005-01-03,Horror,798410.3880440483,798410.3880440483,798410.3880440483,798410.3880440483
24,2005-01-04,Action,682421.4356476142,3539.152480335606,307167.21924788377,2150170.5347351865
25,2005-01-04,Adventure,1264644.7021289985,4535.220020975355,458391.83855794446,1833567.3542317778
26,2005-01-04,Biography,1366480.157315155,26510.960136339803,345781.4227509178,1728907.1137545889
27,2005-01-04,Comedy,4963560.190561092,2332.976942842161,633446.888679983,6967915.775479813
28,2005-01-04,Crime,1068153.2598269535,1068153.2598269535,1068153.2598269535,1068153.2598269535
29,2005-01-04,Documentary,3296.361017304668,3296.361017304668,3296.361017304668,3296.361017304668
30,2005-01-04,Drama,733200.647598322,51331.71816465654,336289.91071971686,1345159.6428788675
31,2005-01-04,Horror,543168.0807551128,543168.0807551128,543168.0807551128,543168.0807551128
32,2005-01-05,Action,658210.7689879392,3557.8287467226014,274947.99169226165,1924635.9418458315
33,2005-01-05,Adventure,990181.4040167804,3644.9846565285793,355336.58972338756,1421346.3588935502
34,2005-01-05,Biography,1280880.6030414265,25019.97153644468,324311.49818353436,1621557.490917672
35,2005-01-05,Comedy,4360254.532039854,1428.734378605139,550218.229829337,6052400.528122706
36,2005-01-05,Crime,968317.721499738,968317.721499738,968317.721499738,968317.721499738
37,2005-01-05,Documentary,2566.430272679602,2566.430272679602,2566.430272679602,2566.430272679602
38,2005-01-05,Drama,646494.5245411643,50639.13995280545,305657.332045097,1222629.328180388
39,2005-01-05,Horror,457568.52648138447,457568.52648138447,457568.52648138447,457568.52648138447
40,2005-01-06,Action,661606.7367593079,5009.9084583114845,288973.8677488951,2022817.0742422657
